id,pert_id,pert_iname,cell_iname,pert_type,pert_idose,pert_itime,nsample,ss_ngene,cc_q75,tas,qc_pass,is_hiq,is_ncs_sig,is_exemplar_sig,is_null_sig,moa,target_name,raw_cs,fdr_q_nlog10,norm_cs
REP.A023_MCF10A_24H:O14,BRD-K72951360,valrubicin,MCF10A,trt_cp,3.33 uM,24 h,3,545,0.7574,0.649668,1,1,1,1,0,DNA inhibitor|Topoisomerase inhibitor,TOP2A,-0.9552,15.6536,-1.8939
REP.A005_A549_24H:G20,BRD-K09426783,TAS-103,A549,trt_cp,3.33 uM,24 h,3,634,0.7772,0.709809,0,0,1,1,0,Topoisomerase inhibitor,TOP1|TOP2A,-0.9541,15.6536,-1.8917
PBIOA013_MCF7_24H:O07,BRD-K37798499,etoposide,MCF7,trt_cp,10 uM,24 h,3,499,0.68,0.589027,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.9533,15.6536,-1.8902
REP.B005_A375_24H:G19,BRD-K09426783,TAS-103,A375,trt_cp,2.22 uM,24 h,3,764,0.8602,0.819742,1,1,1,1,0,Topoisomerase inhibitor,TOP1|TOP2A,-0.9523,15.6536,-1.8881
CPC006_VCAP_6H:BRD-A35588707-001-03-0:1.25,BRD-A35588707,teniposide,VCAP,trt_cp,1.25 uM,6 h,4,210,0.55,0.343654,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.9522,15.6536,-1.8879
REP.A023_MCF7_24H:D08,BRD-K68346641,amsacrine,MCF7,trt_cp,3.33 uM,24 h,3,495,0.7123,0.600433,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|KCNH2,-0.9486,15.6536,-1.8809
REP.A015_MCF10A_24H:C13,BRD-K56334280,amonafide,MCF10A,trt_cp,10 uM,24 h,3,441,0.6898,0.557714,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B,-0.9473,15.6536,-1.8783
REP.B008_MCF10A_24H:A09,BRD-A68009927,daunorubicin,MCF10A,trt_cp,0.25 uM,24 h,2,418,0.7415,0.562956,0,0,1,1,0,RNA synthesis inhibitor|Topoisomerase inhibitor,TOP2A|TOP2B,-0.9472,15.6536,-1.8781
REP.B011_A375_24H:P19,BRD-A33280134,etoposide,A375,trt_cp,2.22 uM,24 h,2,574,0.7378,0.658045,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.9453,15.6536,-1.8743
EMU001_SKMEL5_24H:C20,BRD-K21680192,mitoxantrone,SKMEL5,trt_cp,2.5 uM,24 h,2,692,0.8231,0.76315,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.9421,15.6536,-1.8679
CPC006_AGS_6H:BRD-A71390734-001-01-7:0.08,BRD-A71390734,idarubicin,AGS,trt_cp,0.08 uM,6 h,2,154,0.55,0.294288,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.934,15.6536,-1.8518
CPC016_A549_24H:BRD-A35588707-001-03-0:10,BRD-A35588707,teniposide,A549,trt_cp,10 uM,24 h,3,481,0.7,0.586749,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.9328,15.6536,-1.8494
CPC006_NCIH2073_6H:BRD-A35588707-001-03-0:1.25,BRD-A35588707,teniposide,NCIH2073,trt_cp,1.25 uM,6 h,2,249,0.53,0.36734,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.9324,15.6536,-1.8487
EMU001_SKMEL5_24H:F09,BRD-A52530684,doxorubicin,SKMEL5,trt_cp,0.66 uM,24 h,3,723,0.8639,0.799156,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.9294,15.6536,-1.8426
CPC006_NCIH2073_6H:BRD-A71390734-001-01-7:0.08,BRD-A71390734,idarubicin,NCIH2073,trt_cp,0.08 uM,6 h,2,255,0.49,0.357436,0,0,1,1,0,Topoisomerase inhibitor,TOP2A,-0.9248,15.6536,-1.8336
CPC006_AGS_6H:BRD-A35588707-001-03-0:1.25,BRD-A35588707,teniposide,AGS,trt_cp,1.25 uM,6 h,2,195,0.51,0.318884,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.921,15.6536,-1.826
REP.A020_YAPC_24H:N03,BRD-K47869605,BRD-K47869605,YAPC,trt_cp,1.11 uM,24 h,3,554,0.8186,0.68096,1,1,1,1,0,Tubulin inhibitor,IGF1R|TOP2A|TUBA4A|TUBB,-0.917,15.6536,-1.8182
CPC011_VCAP_6H:BRD-K37798499-001-13-2:10,BRD-K37798499,etoposide,VCAP,trt_cp,10 uM,6 h,5,212,0.34,0.27148,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.9154,15.6536,-1.815
CPC011_HA1E_6H:BRD-K37798499-001-13-2:10,BRD-K37798499,etoposide,HA1E,trt_cp,10 uM,6 h,2,173,0.38,0.259266,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.9146,15.6536,-1.8134
ASG003_U2OS_6H:F18,BRD-A71390734,idarubicin,U2OS,trt_cp,0.12 uM,6 h,5,346,0.521,0.429326,0,0,1,1,0,Topoisomerase inhibitor,TOP2A,-0.9111,15.6536,-1.8065
REP.B005_MCF7_24H:G21,BRD-K09426783,TAS-103,MCF7,trt_cp,0.25 uM,24 h,2,277,0.3924,0.333376,0,0,1,1,0,Topoisomerase inhibitor,TOP1|TOP2A,-0.9102,15.6536,-1.8047
CPC006_HCC515_6H:F17,BRD-A35588707,teniposide,HCC515,trt_cp,1.25 uM,6 h,3,125,0.3929,0.224092,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.9096,15.6536,-1.8035
CPC006_HEPG2_6H:BRD-A71390734-001-01-7:0.08,BRD-A71390734,idarubicin,HEPG2,trt_cp,0.08 uM,6 h,3,261,0.4,0.326724,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.9087,15.6536,-1.8017
ASG003_U2OS_6H:O21,BRD-A37630846,daunorubicin,U2OS,trt_cp,0.12 uM,6 h,5,373,0.5678,0.465353,0,0,1,1,0,RNA synthesis inhibitor|Topoisomerase inhibitor,TOP2A|TOP2B,-0.9066,15.6536,-1.7975
CPC015_A375_6H:BRD-K92093830-003-05-0:10,BRD-K92093830,doxorubicin,A375,trt_cp,10 uM,6 h,3,698,0.63,0.670546,0,0,1,1,0,Topoisomerase inhibitor,TOP2A,-0.9065,15.6536,-1.7973
REP.A023_A375_24H:D07,BRD-K68346641,amsacrine,A375,trt_cp,10 uM,24 h,3,754,0.8254,0.797716,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|KCNH2,-0.9026,15.6536,-1.7896
CPC015_A549_6H:BRD-K04548931-003-05-8:10,BRD-K04548931,epirubicin,A549,trt_cp,10 uM,6 h,2,265,0.32,0.294461,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.9014,15.6536,-1.7872
REP.A004_A375_24H:J07,BRD-K23677682,voreloxin,A375,trt_cp,10 uM,24 h,3,732,0.8275,0.786992,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PRKDC,-0.9007,15.6536,-1.7859
REP.A011_PC3_24H:P19,BRD-A33280134,etoposide,PC3,trt_cp,10 uM,24 h,3,249,0.4978,0.356006,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.9004,15.6536,-1.7853
REP.A023_JURKAT_24H:O14,BRD-K72951360,valrubicin,JURKAT,trt_cp,3.33 uM,24 h,3,168,0.2673,0.214282,0,0,1,1,0,DNA inhibitor|Topoisomerase inhibitor,TOP2A,-0.897,15.6536,-1.7784
REP.A011_MCF7_24H:P19,BRD-A33280134,etoposide,MCF7,trt_cp,10 uM,24 h,3,456,0.5056,0.485531,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.894,15.6536,-1.7726
REP.B022_A375_24H:O16,BRD-K82135108,elesclomol,A375,trt_cp,0.08 uM,24 h,2,279,0.5339,0.390268,1,1,1,1,0,Oxidizing agent,TOP2A|HSPA1A,-0.894,15.6536,-1.7724
LCP001_MCF10A.PIK3CA.HH_24H:F19,BRD-A33280134,etoposide,MCF10A,trt_cp,10 uM,24 h,3,89,0.42,0.195502,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.8935,15.6536,-1.7715
CPC013_A549_6H:BRD-K56334280-001-01-0:10,BRD-K56334280,amonafide,A549,trt_cp,10 uM,6 h,2,154,0.29,0.213693,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B,-0.8933,15.6536,-1.7712
LPROT004_YAPC_6H:BRD-K37798499:5,BRD-K37798499,etoposide,YAPC,trt_cp,4 uM,6 h,4,140,0.31,0.210657,1,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.8926,15.6536,-1.7697
CPC006_NCIH596_6H:BRD-A35588707-001-03-0:1.25,BRD-A35588707,teniposide,NCIH596,trt_cp,1.25 uM,6 h,2,302,0.48,0.384995,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.8923,15.6536,-1.7691
ASG003_U2OS_24H:C06,BRD-K04548931,epirubicin,U2OS,trt_cp,0.12 uM,24 h,5,273,0.5265,0.383364,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.8855,15.6536,-1.7557
REP.A023_YAPC_24H:D07,BRD-K68346641,amsacrine,YAPC,trt_cp,10 uM,24 h,3,601,0.8063,0.703908,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|KCNH2,-0.8835,15.6536,-1.7518
REP.A020_HUVEC.A_24H:I19,BRD-K45152786,merbarone,HUVEC,trt_cp,10 uM,24 h,3,283,0.4384,0.356171,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.8812,15.6536,-1.7472
PBIOA013_A375_24H:O10,BRD-K37798499,etoposide,A375,trt_cp,0.37 uM,24 h,3,503,0.71,0.604288,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.8793,15.6536,-1.7434
TAA001_SHSY5Y_24H:G13,BRD-K21680192,mitoxantrone,SHSY5Y,trt_cp,10 uM,24 h,3,829,0.79,0.818317,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.8771,15.6536,-1.7391
DOSVAL004_A549_24H:BRD-K21680192:10,BRD-K21680192,mitoxantrone,A549,trt_cp,10 uM,24 h,2,575,0.5294,0.5579,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.877,15.6536,-1.7388
ABY001_NCIH596_XH:BRD-K21680192:10:24,BRD-K21680192,mitoxantrone,NCIH596,trt_cp,10 uM,24 h,3,411,0.64,0.518611,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.8726,15.6536,-1.7301
AICHI002_HBL1_4H:K07,BRD-K21680192,mitoxantrone,HBL1,trt_cp,10 uM,4 h,3,346,0.42,0.385472,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.8721,15.6536,-1.7291
CPC016_HEPG2_6H:BRD-A35588707-001-03-0:10,BRD-A35588707,teniposide,HEPG2,trt_cp,10 uM,6 h,2,293,0.68,0.451356,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.8712,15.6536,-1.7274
REP.B007_HELA_24H:D01,BRD-K43797669,genistein,HELA,trt_cp,2.22 uM,24 h,2,591,0.7472,0.671959,0,0,1,1,0,Tyrosine kinase inhibitor,CFTR|ESR2|EGFR|ESR1|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5,-0.8688,15.6536,-1.7225
CPC004_HT29_6H:BRD-K04548931-003-05-8:10,BRD-K04548931,epirubicin,HT29,trt_cp,10 uM,6 h,5,537,0.7,0.619964,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.8687,15.6536,-1.7223
CPC014_VCAP_6H:BRD-K83794624-001-01-7:10,BRD-K83794624,pirarubicin,VCAP,trt_cp,10 uM,6 h,4,594,0.56,0.5832,0,0,1,1,0,Topoisomerase inhibitor,TOP2A,-0.8675,15.6536,-1.72
PBIOA015_HA1E_24H:D09,BRD-K43389675,daunorubicin,HA1E,trt_cp,1.11 uM,24 h,3,771,0.86,0.823393,0,0,1,1,0,RNA synthesis inhibitor|Topoisomerase inhibitor,TOP2A|TOP2B,-0.8646,15.6536,-1.7142
REP.B008_A375_24H:A08,BRD-A68009927,daunorubicin,A375,trt_cp,0.74 uM,24 h,2,705,0.7549,0.737683,1,1,1,1,0,RNA synthesis inhibitor|Topoisomerase inhibitor,TOP2A|TOP2B,-0.8645,15.6536,-1.714
CPC013_VCAP_24H:BRD-K56334280-001-01-0:10,BRD-K56334280,amonafide,VCAP,trt_cp,10 uM,24 h,4,289,0.43,0.356462,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B,-0.8631,15.6536,-1.7113
CPC014_A549_24H:BRD-K07265709-003-01-5:10,BRD-K07265709,razoxane,A549,trt_cp,10 uM,24 h,3,255,0.56,0.382116,0,0,1,1,0,Chelating agent|Topoisomerase inhibitor,TOP2A|TOP2B,-0.8601,15.6536,-1.7053
REP.B023_HUVEC.A_24H:D09,BRD-K68346641,amsacrine,HUVEC,trt_cp,0.25 uM,24 h,2,294,0.4794,0.379624,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|KCNH2,-0.8597,15.6536,-1.7046
PBIOA013_PC3_24H:O07,BRD-K37798499,etoposide,PC3,trt_cp,10 uM,24 h,3,317,0.51,0.406579,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.8592,15.6536,-1.7035
CPC016_A375_6H:BRD-A35588707-001-03-0:10,BRD-A35588707,teniposide,A375,trt_cp,10 uM,6 h,4,616,0.61,0.619849,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.8572,15.6536,-1.6995
PCLB003_HA1E_24H:BRD-A52530684-003-01-7:3.33,BRD-A52530684,doxorubicin,HA1E,trt_cp,3.33 uM,24 h,3,596,0.67,0.638986,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.856,15.6536,-1.6973
REP.A004_HELA_24H:J07,BRD-K23677682,voreloxin,HELA,trt_cp,10 uM,24 h,3,400,0.5956,0.493558,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PRKDC,-0.8534,15.6536,-1.692
LJP006_PC3_24H:C22,BRD-K21680192,mitoxantrone,PC3,trt_cp,0.37 uM,24 h,3,283,0.47,0.368785,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.8532,15.6536,-1.6917
REP.A015_HT29_24H:E07,BRD-K56844688,epirubicin,HT29,trt_cp,10 uM,24 h,3,769,0.8416,0.813479,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.8514,15.6536,-1.688
DOSVAL004_HCC515_24H:BRD-K21680192:5,BRD-K21680192,mitoxantrone,HCC515,trt_cp,4 uM,24 h,3,582,0.52,0.55628,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.8513,15.6536,-1.6879
CPC014_HT29_6H:BRD-K83794624-001-01-7:10,BRD-K83794624,pirarubicin,HT29,trt_cp,10 uM,6 h,5,644,0.71,0.683758,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.8491,15.6536,-1.6835
CPC014_VCAP_6H:BRD-K85985071-001-20-7:10,BRD-K85985071,ellipticine,VCAP,trt_cp,10 uM,6 h,5,284,0.37,0.327786,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B,-0.8471,15.6536,-1.6795
CPC018_HT29_6H:BRD-A52530684-001-01-1:10,BRD-A52530684,doxorubicin,HT29,trt_cp,10 uM,6 h,4,679,0.76,0.726394,0,0,1,1,0,Topoisomerase inhibitor,TOP2A,-0.846,15.6536,-1.6774
CPC011_VCAP_6H:BRD-K92093830-003-23-3:10,BRD-K92093830,doxorubicin,VCAP,trt_cp,10 uM,6 h,5,651,0.63,0.647577,0,0,1,1,0,Topoisomerase inhibitor,TOP2A,-0.8455,15.6536,-1.6763
REP.A015_A375_24H:E07,BRD-K56844688,epirubicin,A375,trt_cp,10 uM,24 h,3,711,0.7605,0.743558,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.8402,15.6536,-1.6658
CPC006_H1299_6H:BRD-A35588707-001-03-0:1.25,BRD-A35588707,teniposide,H1299,trt_cp,1.25 uM,6 h,2,162,0.32,0.230231,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.8382,15.6536,-1.6618
AML001_CD34_24H:BRD-K43389675:0.37037,BRD-K43389675,daunorubicin,CD34,trt_cp,0.37 uM,24 h,2,580,0.76,0.671354,0,0,1,1,0,RNA synthesis inhibitor|Topoisomerase inhibitor,TOP2A|TOP2B,-0.8341,15.6536,-1.6537
REP.A023_YAPC_24H:O15,BRD-K72951360,valrubicin,YAPC,trt_cp,1.11 uM,24 h,3,158,0.3485,0.23728,1,1,1,1,0,DNA inhibitor|Topoisomerase inhibitor,TOP2A,-0.8332,15.6536,-1.6519
CPC006_HCT116_6H:BRD-A35588707-001-03-0:1.25,BRD-A35588707,teniposide,HCT116,trt_cp,1.25 uM,6 h,2,83,0.4,0.184247,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.8315,15.6536,-1.6486
REP.A011_YAPC_24H:P19,BRD-A33280134,etoposide,YAPC,trt_cp,10 uM,24 h,3,296,0.4532,0.370358,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B|CYP2E1|CYP3A5,-0.8312,15.6536,-1.6481
CPC016_ASC_24H:BRD-A35588707-001-03-0:10,BRD-A35588707,teniposide,ASC,trt_cp,10 uM,24 h,3,399,0.4,0.403968,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.8301,15.6536,-1.6459
ASG003_A549_6H:O20,BRD-A37630846,daunorubicin,A549,trt_cp,1.11 uM,6 h,5,522,0.6742,0.599874,1,0,1,1,0,RNA synthesis inhibitor|Topoisomerase inhibitor,TOP2A|TOP2B,-0.83,15.6536,-1.6456
CPC004_VCAP_6H:BRD-K04548931-003-05-8:10,BRD-K04548931,epirubicin,VCAP,trt_cp,10 uM,6 h,3,636,0.61,0.629831,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.83,15.6536,-1.6456
CPC018_A549_6H:BRD-A52530684-001-01-1:10,BRD-A52530684,doxorubicin,A549,trt_cp,10 uM,6 h,3,478,0.67,0.572245,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.8286,15.6536,-1.6429
PBIOA015_PC3_24H:D12,BRD-K43389675,daunorubicin,PC3,trt_cp,0.04 uM,24 h,3,166,0.31,0.229385,1,1,1,1,0,RNA synthesis inhibitor|Topoisomerase inhibitor,TOP2A|TOP2B,-0.8283,15.6536,-1.6423
CPC004_HEPG2_6H:BRD-K04548931-003-05-8:10,BRD-K04548931,epirubicin,HEPG2,trt_cp,10 uM,6 h,3,380,0.54,0.458057,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.827,15.6536,-1.6396
REP.A005_PC3_24H:G22,BRD-K09426783,TAS-103,PC3,trt_cp,0.37 uM,24 h,2,234,0.5582,0.365455,1,1,1,1,0,Topoisomerase inhibitor,TOP1|TOP2A,-0.8268,15.6536,-1.6393
CPC006_NCIH596_6H:BRD-A71390734-001-01-7:0.08,BRD-A71390734,idarubicin,NCIH596,trt_cp,0.08 uM,6 h,2,336,0.49,0.410297,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.8267,15.6536,-1.6391
CPC006_PC3_24H:N01,BRD-A71390734,idarubicin,PC3,trt_cp,0.08 uM,24 h,5,273,0.426,0.344839,1,1,1,1,0,Topoisomerase inhibitor,TOP2A,-0.8261,15.6536,-1.638
CPC014_VCAP_24H:BRD-K07265709-003-01-5:10,BRD-K07265709,razoxane,VCAP,trt_cp,10 uM,24 h,5,310,0.46,0.381848,0,0,1,1,0,Chelating agent|Topoisomerase inhibitor,TOP2A|TOP2B,-0.8261,15.6536,-1.6379
PAC036_U2OS_6H:BRD-K21680192-300-09-4:20,BRD-K21680192,mitoxantrone,U2OS,trt_cp,20 uM,6 h,3,275,0.5,0.374957,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.8246,15.6536,-1.6349
CPC013_HEPG2_6H:BRD-K56334280-001-01-0:10,BRD-K56334280,amonafide,HEPG2,trt_cp,10 uM,6 h,3,276,0.54,0.390375,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|TOP2B,-0.8245,15.6536,-1.6348
CPC003_HA1E_6H:BRD-K92093830-003-05-0:10,BRD-K92093830,doxorubicin,HA1E,trt_cp,10 uM,6 h,2,400,0.64,0.511624,0,0,1,1,0,Topoisomerase inhibitor,TOP2A,-0.8234,15.6536,-1.6326
REP.A023_PC3_24H:O14,BRD-K72951360,valrubicin,PC3,trt_cp,3.33 uM,24 h,3,325,0.4869,0.402246,1,1,1,1,0,DNA inhibitor|Topoisomerase inhibitor,TOP2A,-0.823,15.6536,-1.6318
REP.A015_MCF10A_24H:E08,BRD-K56844688,epirubicin,MCF10A,trt_cp,3.33 uM,24 h,3,768,0.8563,0.820019,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.8214,15.6536,-1.6286
PAC002_U2OS_6H:BRD-K43389675-003-02-7:3.54622,BRD-K43389675,daunorubicin,U2OS,trt_cp,3.33 uM,6 h,2,560,0.83,0.689388,0,0,1,1,0,RNA synthesis inhibitor|Topoisomerase inhibitor,TOP2A|TOP2B,-0.8214,15.6536,-1.6285
CPC004_PC3_6H:BRD-K04548931-003-05-8:10,BRD-K04548931,epirubicin,PC3,trt_cp,10 uM,6 h,5,600,0.68,0.645893,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.8211,15.6536,-1.6281
REP.B023_PC3_24H:D08,BRD-K68346641,amsacrine,PC3,trt_cp,0.74 uM,24 h,2,217,0.361,0.283018,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|KCNH2,-0.8196,15.6536,-1.6251
REP.A015_MCF7_24H:E07,BRD-K56844688,epirubicin,MCF7,trt_cp,10 uM,24 h,3,755,0.8168,0.794076,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CHD1,-0.8173,15.6536,-1.6205
CPC016_NPC_24H:BRD-A35588707-001-03-0:10,BRD-A35588707,teniposide,NPC,trt_cp,10 uM,24 h,3,612,0.73,0.675877,0,0,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.8172,15.6536,-1.6203
REP.B022_YAPC_24H:O16,BRD-K82135108,elesclomol,YAPC,trt_cp,0.08 uM,24 h,2,150,0.2301,0.18786,1,1,1,1,0,Oxidizing agent,TOP2A|HSPA1A,-0.8172,15.6536,-1.6203
DOSVAL004_A375_24H:BRD-K21680192:5,BRD-K21680192,mitoxantrone,A375,trt_cp,4 uM,24 h,3,747,0.72,0.741578,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|PIM1,-0.8165,15.6536,-1.619
CPC006_PC3_24H:F17,BRD-A35588707,teniposide,PC3,trt_cp,1.25 uM,24 h,5,289,0.4636,0.370127,1,1,1,1,0,Topoisomerase inhibitor,TOP2A|CYP3A5|TOP2B,-0.8153,15.6536,-1.6165
