"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051783","BP","GO:0051783","regulation of nuclear division","15/117","139/18800",8.30226325785923e-15,1.38949696888353e-12,1.17979530506421e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC20/CDCA2/CHEK1/DLGAP5/ESPL1/IGF1/NEK2/RAD51AP1/TRIP13/TTK/ZWINT",15
"GO:0051306","BP","GO:0051306","mitotic sister chromatid separation","12/117","68/18800",1.02998292628577e-14,1.58016547274342e-12,1.34168828555646e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/PTTG1/TRIP13/TTK/UBE2C/ZWINT",12
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","17/117","212/18800",1.79238294892099e-14,2.53829000689503e-12,2.15521350538273e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/CDCA5/DLGAP5/ESPL1/MCM2/NEK2/PIF1/PTTG1/TOP2A/TRIP13/TTK/UBE2C/ZWINT",17
"GO:0033045","BP","GO:0033045","regulation of sister chromatid segregation","12/117","72/18800",2.12847095602096e-14,2.61234335335639e-12,2.21809078574816e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/PTTG1/TRIP13/TTK/UBE2C/ZWINT",12
"GO:1905818","BP","GO:1905818","regulation of chromosome separation","12/117","72/18800",2.12847095602096e-14,2.61234335335639e-12,2.21809078574816e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/PTTG1/TRIP13/TTK/UBE2C/ZWINT",12
"GO:1902850","BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","15/117","151/18800",2.88326906515391e-14,3.31756146809272e-12,2.81687800115366e-12,"AURKB/CCNB1/CDC20/CENPA/DLGAP5/ESPL1/KIF11/KIF4A/KIFC1/MYBL2/NEK2/NUF2/SPC25/TPX2/TTK",15
"GO:0051304","BP","GO:0051304","chromosome separation","13/117","97/18800",3.19177470424556e-14,3.45650425324475e-12,2.93485166303694e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/PTTG1/TOP2A/TRIP13/TTK/UBE2C/ZWINT",13
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","19/117","301/18800",3.65795289659178e-14,3.74127293479193e-12,3.17664330493497e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC45/CDC6/CDK1/CHEK1/CLSPN/DTL/E2F8/ESPL1/GTSE1/NEK2/ORC1/PTTG1/TRIP13/TTK/ZWINT",19
"GO:0007051","BP","GO:0007051","spindle organization","16/117","188/18800",4.37955918621194e-14,4.2435623483243e-12,3.60312764073392e-12,"AURKB/CCNB1/CCNB2/CDC20/DLGAP5/ESPL1/KIF11/KIF4A/KIFC1/MYBL2/NEK2/NUF2/SPAG5/SPC25/TPX2/TTK",16
"GO:0007093","BP","GO:0007093","mitotic cell cycle checkpoint signaling","14/117","130/18800",7.04282573840729e-14,6.48292109220391e-12,5.50452432712359e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/CDK1/CHEK1/CLSPN/DTL/GTSE1/ORC1/TRIP13/TTK/ZWINT",14
"GO:0030071","BP","GO:0030071","regulation of mitotic metaphase/anaphase transition","11/117","60/18800",8.90373512723932e-14,7.80560779487981e-12,6.62759231275709e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/TRIP13/TTK/UBE2C/ZWINT",11
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition","19/117","321/18800",1.1653153658168e-13,9.751570856676e-12,8.2798723360667e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/CDCA5/CDK1/CHEK1/CLSPN/DLGAP5/DTL/ESPL1/GTSE1/ORC1/RRM2/TRIP13/TTK/UBE2C/ZWINT",19
"GO:0007091","BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","11/117","62/18800",1.30691504008552e-13,1.02351301215057e-11,8.690453260777e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/TRIP13/TTK/UBE2C/ZWINT",11
"GO:0006260","BP","GO:0006260","DNA replication","18/117","280/18800",1.33429181377586e-13,1.02351301215057e-11,8.690453260777e-12,"CCNA2/CCNE1/CDC45/CDC6/CDK1/CHEK1/DTL/E2F8/ESCO2/GINS1/GINS2/MCM2/MCM4/ORC1/PIF1/POLQ/RAD51/RRM2",18
"GO:1902099","BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","11/117","63/18800",1.57518444180221e-13,1.15996582294315e-11,9.84904798347907e-12,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/TRIP13/TTK/UBE2C/ZWINT",11
"GO:0000075","BP","GO:0000075","cell cycle checkpoint signaling","15/117","170/18800",1.68118696559573e-13,1.19040969371606e-11,1.01075410684602e-11,"AURKB/BUB1/BUB1B/CCNB1/CDC45/CDC6/CDK1/CHEK1/CLSPN/DTL/GTSE1/ORC1/TRIP13/TTK/ZWINT",15
"GO:0007346","BP","GO:0007346","regulation of mitotic cell cycle","22/117","478/18800",1.87205925927447e-13,1.25789337421425e-11,1.0680532094732e-11,"AURKB/BUB1/BUB1B/CCNB1/CDC6/CDCA2/CDCA5/CDK1/CHEK1/CLSPN/DLGAP5/DTL/ESPL1/GTSE1/IGF1/NEK2/ORC1/RRM2/TRIP13/TTK/UBE2C/ZWINT",22
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","13/117","111/18800",1.91314581629544e-13,1.25789337421425e-11,1.0680532094732e-11,"AURKB/BUB1/BUB1B/CCNB1/CDCA2/CHEK1/DLGAP5/ESPL1/IGF1/NEK2/TRIP13/TTK/ZWINT",13
"GO:0044784","BP","GO:0044784","metaphase/anaphase transition of cell cycle","11/117","65/18800",2.2659417575004e-13,1.43848233639939e-11,1.22138784387953e-11,"AURKB/BUB1/BUB1B/CCNB1/CDC6/DLGAP5/ESPL1/TRIP13/TTK/UBE2C/ZWINT",11
"GO:2001251","BP","GO:2001251","negative regulation of chromosome organization","12/117","89/18800",3.01156269828646e-13,1.84809564251512e-11,1.56918266910715e-11,"AURKB/BUB1/BUB1B/CCNB1/ESPL1/MCM2/PIF1/PTTG1/TOP2A/TRIP13/TTK/ZWINT",12
"GO:0007052","BP","GO:0007052","mitotic spindle organization","13/117","124/18800",8.17217284269831e-13,4.85321619464761e-11,4.12077306329609e-11,"AURKB/CCNB1/CDC20/DLGAP5/KIF11/KIF4A/KIFC1/MYBL2/NEK2/NUF2/SPC25/TPX2/TTK",13
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","20/117","415/18800",1.14079964310165e-12,6.5631629467192e-11,5.57265615133538e-11,"AURKB/BUB1/BUB1B/CCNB1/CDC45/CDC6/CDCA5/CDK1/CHEK1/CLSPN/DLGAP5/DTL/ESPL1/GTSE1/ORC1/RRM2/TRIP13/TTK/UBE2C/ZWINT",20
"GO:0045786","BP","GO:0045786","negative regulation of cell cycle","19/117","387/18800",3.20645705612731e-12,1.78881437585769e-10,1.5188480792182e-10,"AURKB/BUB1/BUB1B/CCNB1/CDC45/CDC6/CDK1/CHEK1/CLSPN/DTL/E2F8/ESPL1/GTSE1/NEK2/ORC1/PTTG1/TRIP13/TTK/ZWINT",19
"GO:1901991","BP","GO:1901991","negative regulation of mitotic cell cycle phase transition","14/117","183/18800",7.9793310541871e-12,4.32057307963484e-10,3.668515980021e-10,"AURKB/BUB1/BUB1B/CCNB1/CDC6/CDK1/CHEK1/CLSPN/DTL/GTSE1/ORC1/TRIP13/TTK/ZWINT",14
"GO:0051321","BP","GO:0051321","meiotic cell cycle","16/117","266/18800",9.23245105032924e-12,4.85626925247318e-10,4.12336535631246e-10,"BUB1/BUB1B/CCNB2/CCNE1/CDC20/ESPL1/EXO1/NEK2/NUF2/PTTG1/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13/TTK",16
"GO:0140013","BP","GO:0140013","meiotic nuclear division","14/117","188/18800",1.15003248029187e-11,5.88113832282595e-10,4.99356208547788e-10,"BUB1/BUB1B/CCNB2/CCNE1/CDC20/ESPL1/NUF2/PTTG1/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13/TTK",14
"GO:0032392","BP","GO:0032392","DNA geometric change","11/117","96/18800",1.90082875889004e-11,9.45790741923395e-10,8.03052832703189e-10,"CDC45/GINS1/GINS2/HMGB3/MCM2/MCM4/PIF1/POLQ/RAD51/RAD54L/TOP2A",11
"GO:0090068","BP","GO:0090068","positive regulation of cell cycle process","15/117","247/18800",3.76346724967366e-11,1.82330084385506e-09,1.5481298797134e-09,"AURKB/CCNB1/CDC6/CDCA5/CDK1/DLGAP5/DTL/E2F8/ESPL1/IGF1/PLK4/RAD51AP1/RRM2/SPAG5/UBE2C",15
"GO:0071103","BP","GO:0071103","DNA conformation change","11/117","103/18800",4.14566695485058e-11,1.93540107746554e-09,1.64331204439025e-09,"CDC45/GINS1/GINS2/HMGB3/MCM2/MCM4/PIF1/POLQ/RAD51/RAD54L/TOP2A",11
"GO:1903046","BP","GO:1903046","meiotic cell cycle process","14/117","207/18800",4.20510826173935e-11,1.93540107746554e-09,1.64331204439025e-09,"BUB1/BUB1B/CCNB2/CCNE1/CDC20/ESPL1/NUF2/PTTG1/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13/TTK",14
"GO:0008608","BP","GO:0008608","attachment of spindle microtubules to kinetochore","8/117","37/18800",5.8645228115804e-11,2.58949652745497e-09,2.19869198277288e-09,"AURKB/CCNB1/KIF2C/NEK2/NUF2/SPAG5/SPC24/SPC25",8
"GO:1901988","BP","GO:1901988","negative regulation of cell cycle phase transition","15/117","255/18800",5.90759664058169e-11,2.58949652745497e-09,2.19869198277288e-09,"AURKB/BUB1/BUB1B/CCNB1/CDC45/CDC6/CDK1/CHEK1/CLSPN/DTL/GTSE1/ORC1/TRIP13/TTK/ZWINT",15
"GO:0033046","BP","GO:0033046","negative regulation of sister chromatid segregation","8/117","43/18800",2.13543600171293e-10,8.52054952916822e-09,7.23463566758044e-09,"AURKB/BUB1/BUB1B/CCNB1/PTTG1/TRIP13/TTK/ZWINT",8
"GO:0033048","BP","GO:0033048","negative regulation of mitotic sister chromatid segregation","8/117","43/18800",2.13543600171293e-10,8.52054952916822e-09,7.23463566758044e-09,"AURKB/BUB1/BUB1B/CCNB1/PTTG1/TRIP13/TTK/ZWINT",8
"GO:2000816","BP","GO:2000816","negative regulation of mitotic sister chromatid separation","8/117","43/18800",2.13543600171293e-10,8.52054952916822e-09,7.23463566758044e-09,"AURKB/BUB1/BUB1B/CCNB1/PTTG1/TRIP13/TTK/ZWINT",8
"GO:0045930","BP","GO:0045930","negative regulation of mitotic cell cycle","14/117","234/18800",2.14642823530987e-10,8.52054952916822e-09,7.23463566758044e-09,"AURKB/BUB1/BUB1B/CCNB1/CDC6/CDK1/CHEK1/CLSPN/DTL/GTSE1/ORC1/TRIP13/TTK/ZWINT",14
"GO:0045787","BP","GO:0045787","positive regulation of cell cycle","16/117","329/18800",2.19382267827239e-10,8.52054952916822e-09,7.23463566758044e-09,"AURKB/CCNB1/CDC6/CDCA5/CDK1/CHEK1/DLGAP5/DTL/E2F8/ESPL1/IGF1/PLK4/RAD51AP1/RRM2/SPAG5/UBE2C",16
"GO:0032508","BP","GO:0032508","DNA duplex unwinding","10/117","90/18800",2.22154468984288e-10,8.52054952916822e-09,7.23463566758044e-09,"CDC45/GINS1/GINS2/MCM2/MCM4/PIF1/POLQ/RAD51/RAD54L/TOP2A",10
"GO:0051985","BP","GO:0051985","negative regulation of chromosome segregation","8/117","45/18800",3.14166957866942e-10,1.15676273886608e-08,9.82185120910335e-09,"AURKB/BUB1/BUB1B/CCNB1/PTTG1/TRIP13/TTK/ZWINT",8
"GO:1905819","BP","GO:1905819","negative regulation of chromosome separation","8/117","45/18800",3.14166957866942e-10,1.15676273886608e-08,9.82185120910335e-09,"AURKB/BUB1/BUB1B/CCNB1/PTTG1/TRIP13/TTK/ZWINT",8
"GO:0033047","BP","GO:0033047","regulation of mitotic sister chromatid segregation","8/117","46/18800",3.78347873579879e-10,1.3657616377658e-08,1.15964208930056e-08,"AURKB/BUB1/BUB1B/CCNB1/PTTG1/TRIP13/TTK/ZWINT",8
"GO:0045839","BP","GO:0045839","negative regulation of mitotic nuclear division","8/117","48/18800",5.41525655775551e-10,1.91720910054382e-08,1.62786558466942e-08,"AURKB/BUB1/BUB1B/CCNB1/CHEK1/TRIP13/TTK/ZWINT",8
"GO:0051784","BP","GO:0051784","negative regulation of nuclear division","8/117","55/18800",1.68525731068957e-09,5.85388435656509e-08,4.97042126390071e-08,"AURKB/BUB1/BUB1B/CCNB1/CHEK1/TRIP13/TTK/ZWINT",8
"GO:0051303","BP","GO:0051303","establishment of chromosome localization","9/117","81/18800",1.83829564460071e-09,6.26722644761093e-08,5.32138212910731e-08,"AURKB/CCNB1/CDCA5/CDCA8/DLGAP5/KIF2C/KIFC1/NUF2/SPAG5",9
"GO:0050000","BP","GO:0050000","chromosome localization","9/117","83/18800",2.29218721242172e-09,7.67257574194252e-08,6.51463734056699e-08,"AURKB/CCNB1/CDCA5/CDCA8/DLGAP5/KIF2C/KIFC1/NUF2/SPAG5",9
"GO:0007094","BP","GO:0007094","mitotic spindle assembly checkpoint signaling","7/117","38/18800",3.24504939144398e-09,1.03002343614627e-07,8.74573202594249e-08,"AURKB/BUB1/BUB1B/CCNB1/TRIP13/TTK/ZWINT",7
"GO:0071173","BP","GO:0071173","spindle assembly checkpoint signaling","7/117","38/18800",3.24504939144398e-09,1.03002343614627e-07,8.74573202594249e-08,"AURKB/BUB1/BUB1B/CCNB1/TRIP13/TTK/ZWINT",7
"GO:0071174","BP","GO:0071174","mitotic spindle checkpoint signaling","7/117","38/18800",3.24504939144398e-09,1.03002343614627e-07,8.74573202594249e-08,"AURKB/BUB1/BUB1B/CCNB1/TRIP13/TTK/ZWINT",7
"GO:0044839","BP","GO:0044839","cell cycle G2/M phase transition","11/117","155/18800",3.43001802238814e-09,1.07028189478247e-07,9.08755889963673e-08,"AURKB/CCNA2/CCNB1/CCNB2/CDC6/CDK1/CHEK1/CLSPN/DTL/FOXM1/ORC1",11
"GO:0006268","BP","GO:0006268","DNA unwinding involved in DNA replication","6/117","22/18800",3.51161053739578e-09,1.0774791665576e-07,9.14866955795215e-08,"CDC45/GINS1/GINS2/MCM2/MCM4/RAD51",6
"GO:0031577","BP","GO:0031577","spindle checkpoint signaling","7/117","39/18800",3.93467103054996e-09,1.18749661758073e-07,1.00828066960599e-07,"AURKB/BUB1/BUB1B/CCNB1/TRIP13/TTK/ZWINT",7
"GO:0051225","BP","GO:0051225","spindle assembly","10/117","121/18800",4.18297001822316e-09,1.24207222637884e-07,1.05461977539243e-07,"AURKB/CCNB2/CDC20/KIF11/KIF4A/KIFC1/MYBL2/NEK2/SPAG5/TPX2",10
"GO:0006261","BP","GO:0006261","DNA-templated DNA replication","11/117","159/18800",4.48801304567841e-09,1.31149714557047e-07,1.11356714667209e-07,"CCNE1/CDC45/CDC6/E2F8/GINS1/GINS2/MCM2/MCM4/ORC1/POLQ/RAD51",11
"GO:0045841","BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","7/117","40/18800",4.74489984895248e-09,1.36490009717524e-07,1.15891057166027e-07,"AURKB/BUB1/BUB1B/CCNB1/TRIP13/TTK/ZWINT",7
"GO:0010639","BP","GO:0010639","negative regulation of organelle organization","15/117","356/18800",5.91310565745568e-09,1.67477346390399e-07,1.42201812167153e-07,"AURKB/BUB1/BUB1B/CCNB1/CHEK1/ESPL1/IGF1/MCM2/PIF1/PTTG1/TOP2A/TPX2/TRIP13/TTK/ZWINT",15
"GO:0051310","BP","GO:0051310","metaphase plate congression","8/117","65/18800",6.63455451914872e-09,1.85063861662921e-07,1.57134185979838e-07,"AURKB/CCNB1/CDCA5/CDCA8/KIF2C/KIFC1/NUF2/SPAG5",8
"GO:1902100","BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","7/117","42/18800",6.79608228203621e-09,1.86740111660129e-07,1.58557457797703e-07,"AURKB/BUB1/BUB1B/CCNB1/TRIP13/TTK/ZWINT",7
"GO:0045132","BP","GO:0045132","meiotic chromosome segregation","9/117","96/18800",8.45241006960446e-09,2.28836572619732e-07,1.94300757791991e-07,"BUB1/BUB1B/CCNE1/ESPL1/NUF2/PTTG1/TOP2A/TRIP13/TTK",9
"GO:0090307","BP","GO:0090307","mitotic spindle assembly","8/117","69/18800",1.07660783105765e-08,2.87251451735816e-07,2.43899714587431e-07,"AURKB/CDC20/KIF11/KIF4A/KIFC1/MYBL2/NEK2/TPX2",8
"GO:1901992","BP","GO:1901992","positive regulation of mitotic cell cycle phase transition","9/117","100/18800",1.21465491729289e-08,3.19454243248031e-07,2.71242489049616e-07,"CCNB1/CDC6/CDCA5/CDK1/DLGAP5/DTL/ESPL1/RRM2/UBE2C",9
"GO:0006310","BP","GO:0006310","DNA recombination","14/117","324/18800",1.43550594719942e-08,3.72220626590722e-07,3.16045416099501e-07,"CDC45/CHEK1/EXO1/GINS2/HMGB3/MCM2/MCM4/PIF1/POLQ/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13",14
"GO:0006302","BP","GO:0006302","double-strand break repair","13/117","273/18800",1.54882387406118e-08,3.96025660020366e-07,3.36257814763283e-07,"CDC45/CDCA5/CHEK1/ESCO2/FOXM1/GINS2/MCM2/MCM4/POLQ/RAD51/RAD51AP1/RAD54L/TRIP13",13
"GO:1902969","BP","GO:1902969","mitotic DNA replication","5/117","14/18800",1.63975996440518e-08,4.13533985543827e-07,3.51123799155255e-07,"CDC45/GINS1/MCM2/MCM4/RAD51",5
"GO:0000086","BP","GO:0000086","G2/M transition of mitotic cell cycle","10/117","140/18800",1.71838068587763e-08,4.27505249013611e-07,3.62986531796342e-07,"AURKB/CCNA2/CCNB1/CDC6/CDK1/CHEK1/CLSPN/DTL/FOXM1/ORC1",10
"GO:0007080","BP","GO:0007080","mitotic metaphase plate congression","7/117","51/18800",2.78494872886407e-08,6.83612081311834e-07,5.80441945594828e-07,"AURKB/CCNB1/CDCA5/CDCA8/KIF2C/KIFC1/NUF2",7
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","16/117","472/18800",3.79889812062898e-08,9.20233084220783e-07,7.81352314284492e-07,"AURKB/CCNA2/CDC6/CDK1/CHEK1/E2F8/ESCO2/FOXM1/GINS1/GINS2/NEK2/PIF1/POLQ/RAD51/RAD51AP1/SUB1",16
"GO:1901989","BP","GO:1901989","positive regulation of cell cycle phase transition","9/117","123/18800",7.45867588483287e-08,1.78330159791913e-06,1.51416728489088e-06,"CCNB1/CDC6/CDCA5/CDK1/DLGAP5/DTL/ESPL1/RRM2/UBE2C",9
"GO:0045931","BP","GO:0045931","positive regulation of mitotic cell cycle","9/117","128/18800",1.05282184017513e-07,2.48492949713131e-06,2.10990611695017e-06,"CCNB1/CDC6/CDCA5/CDK1/DLGAP5/DTL/ESPL1/RRM2/UBE2C",9
"GO:0010972","BP","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","7/117","62/18800",1.1181533613629e-07,2.60572194717608e-06,2.21246867638096e-06,"AURKB/CDC6/CDK1/CHEK1/CLSPN/DTL/ORC1",7
"GO:0006270","BP","GO:0006270","DNA replication initiation","6/117","38/18800",1.1980974482303e-07,2.73520206970145e-06,2.32240777238152e-06,"CCNE1/CDC45/CDC6/MCM2/MCM4/ORC1",6
"GO:0007127","BP","GO:0007127","meiosis I","9/117","130/18800",1.20342948205224e-07,2.73520206970145e-06,2.32240777238152e-06,"CCNB2/CCNE1/ESPL1/PTTG1/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13",9
"GO:0007062","BP","GO:0007062","sister chromatid cohesion","7/117","63/18800",1.25149304109645e-07,2.80975449836411e-06,2.38570881390017e-06,"BUB1/BUB1B/CDC20/CDCA5/ESCO2/ESPL1/HASPIN",7
"GO:1902750","BP","GO:1902750","negative regulation of cell cycle G2/M phase transition","7/117","64/18800",1.39800327416284e-07,3.10087232257084e-06,2.63289139141639e-06,"AURKB/CDC6/CDK1/CHEK1/CLSPN/DTL/ORC1",7
"GO:0010389","BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","8/117","97/18800",1.610411608035e-07,3.52948544094337e-06,2.99681859389971e-06,"AURKB/CCNB1/CDC6/CDK1/CHEK1/CLSPN/DTL/ORC1",8
"GO:0061982","BP","GO:0061982","meiosis I cell cycle process","9/117","136/18800",1.77346493439252e-07,3.84111640496075e-06,3.26141848615839e-06,"CCNB2/CCNE1/ESPL1/PTTG1/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13",9
"GO:0044786","BP","GO:0044786","cell cycle DNA replication","6/117","43/18800",2.57961880807495e-07,5.52218398333254e-06,4.68878082006279e-06,"CDC45/E2F8/GINS1/MCM2/MCM4/RAD51",6
"GO:1902749","BP","GO:1902749","regulation of cell cycle G2/M phase transition","8/117","108/18800",3.70625138171703e-07,7.78220724808683e-06,6.60772335596154e-06,"AURKB/CCNB1/CDC6/CDK1/CHEK1/CLSPN/DTL/ORC1",8
"GO:0071897","BP","GO:0071897","DNA biosynthetic process","10/117","194/18800",3.71990351891168e-07,7.78220724808683e-06,6.60772335596154e-06,"AURKB/CHEK1/DTL/GINS1/GINS2/NEK2/PIF1/POLQ/TK1/TYMS",10
"GO:0071459","BP","GO:0071459","protein localization to chromosome, centromeric region","5/117","25/18800",4.1200890669202e-07,8.52256626089898e-06,7.23634803592726e-06,"AURKB/CDK1/CENPA/HASPIN/TTK",5
"GO:0044818","BP","GO:0044818","mitotic G2/M transition checkpoint","6/117","48/18800",5.06269960968106e-07,1.0356033312692e-05,8.79310984839342e-06,"CDC6/CDK1/CHEK1/CLSPN/DTL/ORC1",6
"GO:0000727","BP","GO:0000727","double-strand break repair via break-induced replication","4/117","12/18800",6.78606277862746e-07,1.37287270059925e-05,1.16567995676828e-05,"CDC45/GINS2/MCM2/MCM4",4
"GO:0140694","BP","GO:0140694","non-membrane-bounded organelle assembly","13/117","379/18800",6.90422507483568e-07,1.3815954742144e-05,1.17308629704016e-05,"AURKB/CCNB2/CDC20/CENPA/DLGAP5/KIF11/KIF4A/KIFC1/MYBL2/NEK2/PLK4/SPAG5/TPX2",13
"GO:0000724","BP","GO:0000724","double-strand break repair via homologous recombination","9/117","162/18800",7.82170092282188e-07,1.54836036547474e-05,1.31468317718059e-05,"CDC45/CHEK1/GINS2/MCM2/MCM4/POLQ/RAD51/RAD51AP1/RAD54L",9
"GO:0000725","BP","GO:0000725","recombinational repair","9/117","164/18800",8.66924588599928e-07,1.69788102937496e-05,1.44163831362922e-05,"CDC45/CHEK1/GINS2/MCM2/MCM4/POLQ/RAD51/RAD51AP1/RAD54L",9
"GO:0051988","BP","GO:0051988","regulation of attachment of spindle microtubules to kinetochore","4/117","13/18800",9.75500676604966e-07,1.89041762697868e-05,1.60511745679598e-05,"AURKB/CCNB1/NEK2/SPAG5",4
"GO:0044774","BP","GO:0044774","mitotic DNA integrity checkpoint signaling","7/117","85/18800",9.97505166982078e-07,1.90469948492221e-05,1.61724390926526e-05,"CDC6/CDK1/CHEK1/CLSPN/DTL/GTSE1/ORC1",7
